DATE,ASPTFC
2000-01-01,222600
2000-04-01,199400
2000-07-01,210900
2000-10-01,215000
2001-01-01,210600
2001-04-01,213600
2001-07-01,206600
2001-10-01,218100
2002-01-01,217100
2002-04-01,222400
2002-07-01,242900
2002-10-01,240200
2003-01-01,228500
2003-04-01,235800
2003-07-01,297300
2003-10-01,273700
2004-01-01,235800
2004-04-01,253500
2004-07-01,246100
2004-10-01,234000
2005-01-01,286300
2005-04-01,250800
2005-07-01,284500
2005-10-01,290500
2006-01-01,344000
2006-04-01,309400
2006-07-01,283700
2006-10-01,261800
2007-01-01,257200
2007-04-01,372800
2007-07-01,402700
2007-10-01,317400
2008-01-01,320900
2008-04-01,344300
2008-07-01,310000
2008-10-01,275400
2009-01-01,296500
2009-04-01,342300
2009-07-01,318100
2009-10-01,339900
2010-01-01,309500
2010-04-01,296600
2010-07-01,282000
2010-10-01,347400
2011-01-01,242800
2011-04-01,292200
2011-07-01,304700
2011-10-01,263500
2012-01-01,298900
2012-04-01,292200
2012-07-01,307000
2012-10-01,319900
2013-01-01,282400
2013-04-01,355700
2013-07-01,402900
2013-10-01,391200
2014-01-01,404300
2014-04-01,380800
2014-07-01,376400
2014-10-01,422900
2015-01-01,409500
2015-04-01,346800
2015-07-01,408300
2015-10-01,412800
2016-01-01,410400
2016-04-01,404700
2016-07-01,381100
2016-10-01,409700
2017-01-01,465300
2017-04-01,413600
2017-07-01,388900
2017-10-01,402300
2018-01-01,415000
2018-04-01,398700
2018-07-01,447000
2018-10-01,369100
2019-01-01,363200
2019-04-01,393400
2019-07-01,445700
2019-10-01,387600
2020-01-01,364600
2020-04-01,503000
2020-07-01,465900
2020-10-01,426400
2021-01-01,470000
2021-04-01,438200
2021-07-01,535700
2021-10-01,453700
2022-01-01,482600
2022-04-01,545000
2022-07-01,550700
2022-10-01,556700
2023-01-01,558400
2023-04-01,511000
2023-07-01,642100
