DATE,Emp_level (1000),Unemp_level(1000)
01-12-1999,134523,5653
02-12-1999,136559,5708
03-12-1999,136598,5858
04-12-1999,136701,5733
05-12-1999,137270,5481
06-12-1999,136630,5758
07-12-1999,136940,5651
08-12-1999,136531,5747
09-12-1999,136662,5853
10-12-1999,136893,5625
11-12-1999,137088,5534
12-12-1999,137322,5639
13-12-1999,137614,5634
14-12-1999,137778,6023
15-12-1999,137612,6089
16-12-1999,137783,6141
17-12-1999,137299,6271
18-12-1999,137092,6226
19-12-1999,136873,6484
20-12-1999,137071,6583
01-08-2001,136241,7042
01-09-2001,136846,7142
01-10-2001,136392,7694
01-11-2001,136238,8003
01-12-2001,136047,8258
01-01-2002,135701,8182
01-02-2002,136438,8215
01-03-2002,136177,8304
01-04-2002,136126,8599
01-05-2002,136539,8399
01-06-2002,136415,8393
01-07-2002,136413,8390
01-08-2002,136705,8304
01-09-2002,137302,8251
01-10-2002,137008,8307
01-11-2002,136521,8520
01-12-2002,136426,8640
01-01-2003,137417,8520
01-02-2003,137482,8618
01-03-2003,137434,8588
01-04-2003,137633,8842
01-05-2003,137544,8957
01-06-2003,137790,9266
01-07-2003,137474,9011
01-08-2003,137549,8896
01-09-2003,137609,8921
01-10-2003,137984,8732
01-11-2003,138424,8576
01-12-2003,138411,8317
01-01-2004,138472,8370
01-02-2004,138542,8167
01-03-2004,138453,8491
01-04-2004,138680,8170
01-05-2004,138852,8212
01-06-2004,139174,8286
01-07-2004,139556,8136
01-08-2004,139573,7990
01-09-2004,139487,7927
01-10-2004,139732,8061
01-11-2004,140231,7932
01-12-2004,140125,7934
01-01-2005,140245,7784
01-02-2005,140385,7980
01-03-2005,140654,7737
01-04-2005,141254,7672
01-05-2005,141609,7651
01-06-2005,141714,7524
01-07-2005,142026,7406
01-08-2005,142434,7345
01-09-2005,142401,7553
01-10-2005,142548,7453
01-11-2005,142499,7566
01-12-2005,142752,7279
01-01-2006,143150,7064
01-02-2006,143457,7184
01-03-2006,143741,7072
01-04-2006,143761,7120
01-05-2006,144089,6980
01-06-2006,144353,7001
01-07-2006,144202,7175
01-08-2006,144625,7091
