DATE,MSPTFC
2000-01-01,159800
2000-04-01,150700
2000-07-01,157200
2000-10-01,183100
2001-01-01,172500
2001-04-01,184700
2001-07-01,157800
2001-10-01,172400
2002-01-01,181100
2002-04-01,190700
2002-07-01,198700
2002-10-01,194200
2003-01-01,216000
2003-04-01,175900
2003-07-01,185400
2003-10-01,176300
2004-01-01,174200
2004-04-01,187300
2004-07-01,212800
2004-10-01,184800
2005-01-01,218200
2005-04-01,212600
2005-07-01,194400
2005-10-01,243800
2006-01-01,258000
2006-04-01,222700
2006-07-01,254800
2006-10-01,252500
2007-01-01,238700
2007-04-01,221700
2007-07-01,299300
2007-10-01,201200
2008-01-01,229200
2008-04-01,256600
2008-07-01,273400
2008-10-01,227400
2009-01-01,275700
2009-04-01,260700
2009-07-01,262500
2009-10-01,247000
2010-01-01,222300
2010-04-01,249000
2010-07-01,220300
2010-10-01,250800
2011-01-01,216100
2011-04-01,236800
2011-07-01,249000
2011-10-01,205000
2012-01-01,261000
2012-04-01,249200
2012-07-01,264900
2012-10-01,256400
2013-01-01,236200
2013-04-01,293800
2013-07-01,265600
2013-10-01,286800
2014-01-01,322600
2014-04-01,310200
2014-07-01,285800
2014-10-01,296300
2015-01-01,294600
2015-04-01,310300
2015-07-01,339900
2015-10-01,335000
2016-01-01,332700
2016-04-01,323600
2016-07-01,293100
2016-10-01,352200
2017-01-01,376700
2017-04-01,348000
2017-07-01,320900
2017-10-01,344400
2018-01-01,328400
2018-04-01,302000
2018-07-01,383900
2018-10-01,334800
2019-01-01,318200
2019-04-01,325400
2019-07-01,369300
2019-10-01,324100
2020-01-01,310100
2020-04-01,365900
2020-07-01,312000
2020-10-01,379600
2021-01-01,489100
2021-04-01,383700
2021-07-01,403000
2021-10-01,365400
2022-01-01,388300
2022-04-01,455000
2022-07-01,450600
2022-10-01,374300
2023-01-01,378100
2023-04-01,388500
2023-07-01,486800
